Data ;Voos Processados; Paxs Processados;MES
01/06/2023;9;157;JUNHO
02/06/2023;8;119;JUNHO
03/06/2023;7;118;JUNHO
04/06/2023;8;132;JUNHO
05/06/2023;5;99;JUNHO
06/06/2023;6;104;JUNHO
07/06/2023;5;95;JUNHO
08/06/2023;9;151;JUNHO
09/06/2023;6;95;JUNHO
10/06/2023;8;114;JUNHO
11/06/2023;8;125;JUNHO
12/06/2023;4;65;JUNHO
13/06/2023;6;96;JUNHO
14/06/2023;6;98;JUNHO
15/06/2023;5;83;JUNHO
16/06/2023;7;112;JUNHO
17/06/2023;6;97;JUNHO
18/06/2023;5;73;JUNHO
19/06/2023;6;72;JUNHO
20/06/2023;6;99;JUNHO
21/06/2023;9;160;JUNHO
22/06/2023;7;122;JUNHO
23/06/2023;5;87;JUNHO
24/06/2023;8;146;JUNHO
25/06/2023;10;166;JUNHO
26/06/2023;6;105;JUNHO
27/06/2023;6;104;JUNHO
28/06/2023;6;93;JUNHO
29/06/2023;8;144;JUNHO
30/06/2023;6;103;JUNHO
01/07/2023;6;87;JULHO
02/07/2023;11;163;JULHO
03/07/2023;6;95;JULHO
04/07/2023;7;95;JULHO
05/07/2023;7;125;JULHO
06/07/2023;7;107;JULHO
07/07/2023;7;129;JULHO
08/07/2023;8;142;JULHO
09/07/2023;9;148;JULHO
10/07/2023;6;79;JULHO
11/07/2023;6;111;JULHO
12/07/2023;5;92;JULHO
13/07/2023;7;121;JULHO
14/07/2023;2;37;JULHO
15/07/2023;7;119;JULHO
16/07/2023;9;167;JULHO
17/07/2023;5;99;JULHO
18/07/2023;6;93;JULHO
19/07/2023;5;71;JULHO
20/07/2023;8;131;JULHO
21/07/2023;7;122;JULHO
22/07/2023;6;92;JULHO
23/07/2023;8;142;JULHO
24/07/2023;4;59;JULHO
25/07/2023;5;72;JULHO
26/07/2023;4;75;JULHO
27/07/2023;6;101;JULHO
28/07/2023;5;88;JULHO
29/07/2023;5;82;JULHO
30/07/2023;5;78;JULHO
31/07/2023;4;69;JULHO
01/08/2023;9;149;AGOSTO
02/08/2023;8;125;AGOSTO
03/08/2023;14;217;AGOSTO
04/08/2023;7;133;AGOSTO
05/08/2023;4;61;AGOSTO
06/08/2023;8;120;AGOSTO
07/08/2023;12;169;AGOSTO
08/08/2023;10;177;AGOSTO
09/08/2023;5;74;AGOSTO
10/08/2023;9;152;AGOSTO
11/08/2023;9;136;AGOSTO
12/08/2023;10;160;AGOSTO
13/08/2023;8;128;AGOSTO
14/08/2023;5;61;AGOSTO
15/08/2023;4;64;AGOSTO
16/08/2023;13;223;AGOSTO
17/08/2023;9;157;AGOSTO
18/08/2023;12;175;AGOSTO
19/08/2023;11;167;AGOSTO
20/08/2023;8;117;AGOSTO
21/08/2023;6;83;AGOSTO
22/08/2023;10;159;AGOSTO
23/08/2023;8;139;AGOSTO
24/08/2023;8;128;AGOSTO
25/08/2023;12;177;AGOSTO
26/08/2023;3;59;AGOSTO
27/08/2023;3;44;AGOSTO
28/08/2023;0;0;AGOSTO
29/08/2023;6;89;AGOSTO
30/08/2023;6;85;AGOSTO
31/08/2023;12;218;AGOSTO
01/09/2023;13;191;SETEMBRO
02/09/2023;6;71;SETEMBRO
03/09/2023;11;189;SETEMBRO
04/09/2023;9;104;SETEMBRO
05/09/2023;11;157;SETEMBRO
06/09/2023;7;101;SETEMBRO
07/09/2023;5;72;SETEMBRO
08/09/2023;9;151;SETEMBRO
09/09/2023;7;113;SETEMBRO
10/09/2023;9;150;SETEMBRO
11/09/2023;6;76;SETEMBRO
12/09/2023;10;170;SETEMBRO
13/09/2023;5;89;SETEMBRO
14/09/2023;6;98;SETEMBRO
15/09/2023;8;118;SETEMBRO
16/09/2023;9;134;SETEMBRO
17/09/2023;8;139;SETEMBRO
18/09/2023;6;99;SETEMBRO
19/09/2023;8;139;SETEMBRO
20/09/2023;6;110;SETEMBRO
21/09/2023;8;134;SETEMBRO
